agent,level,rule_count,tier,confidence,rationale_text
Acrylates,probLow,1,IRR,medium,"You may have been exposed to chemicals used in adhesives, paints and plastics, a skin and respiratory irritant and sensitiser. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Acrylates,probUnknown,27,IRR,medium,"You may have been exposed to chemicals used in adhesives, paints and plastics, a skin and respiratory irritant and sensitiser. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Acrylates,possUnknown,8,IRR,medium,"You may have been exposed to chemicals used in adhesives, paints and plastics, a skin and respiratory irritant and sensitiser. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Amines,probUnknown,22,IRR,medium,"You may have been exposed to chemicals used in manufacturing, an irritant to skin, eyes and airways. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Amines,possUnknown,10,IRR,medium,"You may have been exposed to chemicals used in manufacturing, an irritant to skin, eyes and airways. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Ammoniacal compounds,probLow,1,IRR,high,"You may have been exposed to ammonia-based compounds, a respiratory and eye irritant. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Ammoniacal compounds,probUnknown,43,IRR,high,"You may have been exposed to ammonia-based compounds, a respiratory and eye irritant. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Ammoniacal compounds,possUnknown,21,IRR,high,"You may have been exposed to ammonia-based compounds, a respiratory and eye irritant. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Anhydrides,probUnknown,2,IRR,medium,"You may have been exposed to reactive chemicals used in manufacturing such as resins, a respiratory sensitiser and irritant. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Anhydrides,possUnknown,2,IRR,medium,"You may have been exposed to reactive chemicals used in manufacturing such as resins, a respiratory sensitiser and irritant. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Arsenic,probMedium,81,EST,high,"You may have been exposed to a metal encountered in some industrial processes, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Arsenic,probLow,384,EST,high,"You may have been exposed to a metal encountered in some industrial processes, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Arsenic,possUnknown,185,EST,high,"You may have been exposed to a metal encountered in some industrial processes, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Arthropods Mites,probUnknown,59,BIO,medium,"You may have been exposed to exposure to mites, such as in stored grain or dust, a trigger for allergic and asthma-type reactions. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Arthropods Mites,possUnknown,3,BIO,medium,"You may have been exposed to exposure to mites, such as in stored grain or dust, a trigger for allergic and asthma-type reactions. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Artificial UV,probMedium,813,EST,high,"You may have been exposed to ultraviolet light from artificial sources such as welding or UV lamps, a recognised cause of skin and eye damage including cancer with cumulative exposure. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Artificial UV,probLow,1110,EST,high,"You may have been exposed to ultraviolet light from artificial sources such as welding or UV lamps, a recognised cause of skin and eye damage including cancer with cumulative exposure. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Asbestos,probMedium,339,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Asbestos,probLow,852,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Asbestos,possUnknown,93,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Asbestos Aust,probMedium,54,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Asbestos Aust,probLow,88,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Asbestos Aust,probUnknown,12,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Asbestos Aust,possUnknown,5,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Asthma Aldehydes,probUnknown,81,BIO,medium,"You may have been exposed to aldehyde chemicals recognised as a trigger for occupational asthma. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Asthma Aldehydes,possUnknown,16,BIO,medium,"You may have been exposed to aldehyde chemicals recognised as a trigger for occupational asthma. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Asthma Ethylene Oxide,probUnknown,8,BIO,medium,"You may have been exposed to ethylene oxide exposure recognised as a trigger for occupational asthma. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Asthma Metals,probUnknown,175,BIO,medium,"You may have been exposed to certain metals such as platinum, chromium or nickel compounds recognised as a trigger for occupational asthma. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Asthma Metals,possUnknown,39,BIO,medium,"You may have been exposed to certain metals such as platinum, chromium or nickel compounds recognised as a trigger for occupational asthma. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Asthma pesticides,probUnknown,3,BIO,medium,"You may have been exposed to certain pesticides recognised as a trigger for occupational asthma. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Asthma pesticides,possUnknown,13,BIO,medium,"You may have been exposed to certain pesticides recognised as a trigger for occupational asthma. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Asthma Wood Dusts,probUnknown,24,BIO,medium,"You may have been exposed to wood dust recognised as a trigger for occupational asthma. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Asthma Wood Dusts,possUnknown,3,BIO,medium,"You may have been exposed to wood dust recognised as a trigger for occupational asthma. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Benzene,probMedium,1802,EST,high,"You may have been exposed to a solvent found in fuels and some industrial processes, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Benzene,probLow,5527,EST,high,"You may have been exposed to a solvent found in fuels and some industrial processes, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Benzene,probUnknown,114,EST,high,"You may have been exposed to a solvent found in fuels and some industrial processes, classified as a known human carcinogen. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Benzene,possUnknown,121,EST,high,"You may have been exposed to a solvent found in fuels and some industrial processes, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Beryllium,probMedium,17,EST,high,"You may have been exposed to a metal used in some manufacturing and electronics, classified as a known human carcinogen and cause of chronic lung disease. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Beryllium,probLow,13,EST,high,"You may have been exposed to a metal used in some manufacturing and electronics, classified as a known human carcinogen and cause of chronic lung disease. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Beryllium,possUnknown,7,EST,high,"You may have been exposed to a metal used in some manufacturing and electronics, classified as a known human carcinogen and cause of chronic lung disease. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Bioaerosols,probUnknown,53,BIO,medium,"You may have been exposed to airborne biological particles such as mould or bacteria, a trigger for respiratory and allergic reactions. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Bioaerosols,possUnknown,3,BIO,medium,"You may have been exposed to airborne biological particles such as mould or bacteria, a trigger for respiratory and allergic reactions. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Biological enzymes,probUnknown,40,BIO,medium,"You may have been exposed to enzymes used in some manufacturing such as detergents or food processing, a recognised trigger for occupational asthma. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Biological enzymes,possUnknown,1,BIO,medium,"You may have been exposed to enzymes used in some manufacturing such as detergents or food processing, a recognised trigger for occupational asthma. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Bushfire smoke,probMedium,5,UNC,medium,"You may have been exposed to smoke from bushfires, a complex mixture whose long-term health effects are still an active area of research. Your answers suggest a moderate-probability signal for this exposure."
Bushfire smoke,probLow,1,UNC,medium,"You may have been exposed to smoke from bushfires, a complex mixture whose long-term health effects are still an active area of research. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Cadmium,probMedium,523,EST,high,"You may have been exposed to a metal used in some manufacturing such as batteries or coatings, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Cadmium,probLow,770,EST,high,"You may have been exposed to a metal used in some manufacturing such as batteries or coatings, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Cadmium,possUnknown,150,EST,high,"You may have been exposed to a metal used in some manufacturing such as batteries or coatings, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Carbamate,probMedium,3,UNC,low,You may have been exposed to a class of pesticide; evidence on long-term health effects varies by the specific compound. Your answers suggest a moderate-probability signal for this exposure.
Carbamate,probLow,3,UNC,low,You may have been exposed to a class of pesticide; evidence on long-term health effects varies by the specific compound. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern.
Carbon Disulphide,probLow,4,EST,medium,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of serious nervous system and cardiovascular effects with sustained exposure. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Carbon Monoxide,probMedium,39,ACUTE,high,"You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations. Your answers suggest a moderate-probability signal for this exposure. This substance is capable of serious short-term (acute) effects at high concentrations — the finding here reflects your estimated likelihood of exposure, not a measured level."
Carbon Monoxide,probLow,77,ACUTE,high,"You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations. Your answers suggest a low-probability or lower-level exposure. This substance is capable of serious short-term effects at high concentrations, but this finding is logged rather than flagged as an immediate concern."
Carbon Monoxide,possUnknown,4,ACUTE,high,"You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Chromium VI,probMedium,1040,EST,high,"You may have been exposed to a form of chromium used in some manufacturing such as plating or welding, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Chromium VI,probLow,2106,EST,high,"You may have been exposed to a form of chromium used in some manufacturing such as plating or welding, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Chromium VI,possUnknown,3,EST,high,"You may have been exposed to a form of chromium used in some manufacturing such as plating or welding, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Cobalt,probMedium,514,EST,medium,"You may have been exposed to a metal used in some manufacturing such as hard-metal tooling or batteries, linked to lung disease and classified as a possible human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Cobalt,probLow,360,EST,medium,"You may have been exposed to a metal used in some manufacturing such as hard-metal tooling or batteries, linked to lung disease and classified as a possible human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Cobalt,possUnknown,2,EST,medium,"You may have been exposed to a metal used in some manufacturing such as hard-metal tooling or batteries, linked to lung disease and classified as a possible human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Cotton Dust,probLow,1,BIO,high,"You may have been exposed to dust from raw cotton processing, a recognised cause of occupational respiratory disease (byssinosis). Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern, though individual sensitivity can vary."
Derived From Animals,probUnknown,42,BIO,medium,"You may have been exposed to materials or dusts derived from animals, a recognised trigger for allergic and asthma-type reactions. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Derived From Animals,possUnknown,3,BIO,medium,"You may have been exposed to materials or dusts derived from animals, a recognised trigger for allergic and asthma-type reactions. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Derived from Fish/Shellfish,probUnknown,20,BIO,medium,"You may have been exposed to materials or dusts derived from fish or shellfish, a recognised trigger for allergic and asthma-type reactions. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Derived from Fish/Shellfish,possUnknown,3,BIO,medium,"You may have been exposed to materials or dusts derived from fish or shellfish, a recognised trigger for allergic and asthma-type reactions. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Derived from Plants - Other,probUnknown,39,BIO,medium,"You may have been exposed to plant-derived materials or dusts, a recognised trigger for allergic and asthma-type reactions. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Derived from Plants - Other,possUnknown,7,BIO,medium,"You may have been exposed to plant-derived materials or dusts, a recognised trigger for allergic and asthma-type reactions. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Diesel Exhaust,probMedium,4099,EST,high,"You may have been exposed to exhaust from diesel engines, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Diesel Exhaust,probLow,6297,EST,high,"You may have been exposed to exhaust from diesel engines, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Diesel Exhaust,possUnknown,10,EST,high,"You may have been exposed to exhaust from diesel engines, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
diethyl/dimethyl sulphate,probMedium,58,EST,medium,"You may have been exposed to reactive chemicals used in some manufacturing, classified as probable human carcinogens. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
diethyl/dimethyl sulphate,probLow,132,EST,medium,"You may have been exposed to reactive chemicals used in some manufacturing, classified as probable human carcinogens. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Environmental Tobacco Smoke,probLow,4,EST,high,"You may have been exposed to secondhand tobacco smoke, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Epichlorhydrin,probMedium,196,EST,medium,"You may have been exposed to a chemical used in some manufacturing such as epoxy resins, classified as a probable human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Epichlorhydrin,probLow,69,EST,medium,"You may have been exposed to a chemical used in some manufacturing such as epoxy resins, classified as a probable human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Epoxy,probUnknown,17,BIO,medium,"You may have been exposed to epoxy resin chemicals, a recognised skin sensitiser and irritant. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Epoxy,possUnknown,1,BIO,medium,"You may have been exposed to epoxy resin chemicals, a recognised skin sensitiser and irritant. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Erionite,probUnknown,4,EST,medium,"You may have been exposed to a mineral fibre similar to asbestos, classified as a known human carcinogen. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Ethyl Benzene,probMedium,16,EST,medium,"You may have been exposed to a solvent used in some manufacturing, classified as a possible human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Ethyl Benzene,probLow,78,EST,medium,"You may have been exposed to a solvent used in some manufacturing, classified as a possible human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Ethyl Benzene,possUnknown,14,EST,medium,"You may have been exposed to a solvent used in some manufacturing, classified as a possible human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Ethylene oxide,probMedium,316,EST,high,"You may have been exposed to a gas used in sterilisation and some manufacturing, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Ethylene oxide,probLow,277,EST,high,"You may have been exposed to a gas used in sterilisation and some manufacturing, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Ethylene oxide,probUnknown,5,EST,high,"You may have been exposed to a gas used in sterilisation and some manufacturing, classified as a known human carcinogen. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Ethylene oxide,possUnknown,410,EST,high,"You may have been exposed to a gas used in sterilisation and some manufacturing, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
ETS incl vapes,probLow,517,EST,medium,"You may have been exposed to secondhand tobacco smoke or vape aerosol; tobacco smoke is a known human carcinogen, while evidence on vape aerosol is comparatively newer and still developing. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Flour,probUnknown,10,BIO,high,"You may have been exposed to flour dust, a recognised cause of occupational asthma (baker's asthma). Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Flour,possUnknown,4,BIO,high,"You may have been exposed to flour dust, a recognised cause of occupational asthma (baker's asthma). Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Flowers,probUnknown,13,BIO,medium,"You may have been exposed to plant or flower material, a recognised trigger for allergic reactions. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Foods,probUnknown,49,BIO,medium,"You may have been exposed to food-derived materials, a recognised trigger for allergic and asthma-type reactions in food handling roles. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Foods,possUnknown,2,BIO,medium,"You may have been exposed to food-derived materials, a recognised trigger for allergic and asthma-type reactions in food handling roles. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Formaldehyde,probMedium,1317,EST,high,"You may have been exposed to a chemical used in some manufacturing and building materials, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Formaldehyde,probLow,2485,EST,high,"You may have been exposed to a chemical used in some manufacturing and building materials, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Formaldehyde,probUnknown,249,EST,high,"You may have been exposed to a chemical used in some manufacturing and building materials, classified as a known human carcinogen. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much. If this is a regular part of your job, it may be worth checking with your employer about exposure controls."
Formaldehyde,possUnknown,97,EST,high,"You may have been exposed to a chemical used in some manufacturing and building materials, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Glyphosate,probMedium,3,UNC,medium,"You may have been exposed to a widely used herbicide; international health authorities differ on its cancer risk classification, and evidence is still debated. Your answers suggest a moderate-probability signal for this exposure."
Glyphosate,probLow,3,UNC,medium,"You may have been exposed to a widely used herbicide; international health authorities differ on its cancer risk classification, and evidence is still debated. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern."
Grain Dust,probMedium,2,BIO,high,"You may have been exposed to dust from grain handling, a recognised cause of occupational respiratory disease. Your answers suggest a moderate-probability signal for this exposure. Reactions to this kind of exposure vary a lot between individuals — some people develop sensitivity after repeated contact even at modest levels."
Grain Dust,probLow,2,BIO,high,"You may have been exposed to dust from grain handling, a recognised cause of occupational respiratory disease. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern, though individual sensitivity can vary."
Grain Dust,probUnknown,1,BIO,high,"You may have been exposed to dust from grain handling, a recognised cause of occupational respiratory disease. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Grain Dust,possUnknown,7,BIO,high,"You may have been exposed to dust from grain handling, a recognised cause of occupational respiratory disease. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Heat at work,probMedium,66,PHYS,high,"You may have been exposed to working in hot conditions, a recognised cause of heat stress and related illness, with risk depending on duration and intensity. Your answers suggest a moderate-probability signal here. Health effects from this kind of exposure generally depend on cumulative intensity and duration, estimated here from what you told us rather than a direct measurement."
IMPACT NOISE,probUnknown,144,PHYS,high,"You may have been exposed to brief, high-intensity noise such as from impacts, a recognised cause of hearing damage. Your answers suggest this is likely part of your work, but there wasn't enough detail to estimate the level or duration."
IMPACT NOISE,possUnknown,97,PHYS,high,"You may have been exposed to brief, high-intensity noise such as from impacts, a recognised cause of hearing damage. Your answers touched on this, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Industrial Cleaning and Sterlising Agents,probUnknown,29,IRR,medium,"You may have been exposed to chemicals used in industrial cleaning and sterilising, a recognised skin and respiratory irritant. Your answers suggest this exposure is likely, but there wasn't enough detail to estimate how much."
Industrial Cleaning and Sterlising Agents,possUnknown,11,IRR,medium,"You may have been exposed to chemicals used in industrial cleaning and sterilising, a recognised skin and respiratory irritant. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Ionizing radiation,probMedium,553,EST,high,"You may have been exposed to radiation from sources such as X-rays or radioactive materials, classified as a known human carcinogen. Your answers suggest a moderate-probability signal for this exposure. This is a recognised occupational hazard — what's uncertain here isn't whether it can cause harm, but whether your estimated exposure, based on your answers rather than a direct measurement, reaches a level of real concern."
Ionizing radiation,probLow,688,EST,high,"You may have been exposed to radiation from sources such as X-rays or radioactive materials, classified as a known human carcinogen. Your answers suggest a low-probability or lower-level exposure. This is a recognised occupational hazard, but this finding is logged rather than flagged as a concern."
Ionizing radiation,possUnknown,62,EST,high,"You may have been exposed to radiation from sources such as X-rays or radioactive materials, classified as a known human carcinogen. Your answers touched on this exposure, but there wasn't enough information to say how likely or how much. It's logged here for completeness."
Isocyanates,probMedium,2,BIO,high,"You may have been exposed to chemicals used in some manufacturing such as spray painting or foam production, a leading cause of occupational asthma and a possible carcinogen. Your answers suggest a moderate-probability signal for this exposure. Reactions to this kind of exposure vary a lot between individuals — some people develop sensitivity after repeated contact even at modest levels."
Isocyanates,probLow,36,BIO,high,"You may have been exposed to chemicals used in some manufacturing such as spray painting or foam production, a leading cause of occupational asthma and a possible carcinogen. Your answers suggest a low-probability or lower-level exposure. This finding is logged rather than flagged as a concern, though individual sensitivity can vary."
